Номер,Название,place_code
100,Без имени (верхняя),К1А5
101,Без имени (вторая сверху),К1А5
102,Без имени (третья сверху),К1А5
103,Штифты,К1А5
104,Bionicle + соединители,К1А5
105,Муфты и трубочки,К1А5
106,Малые балки + WRO,К1А5
107,Колёса,К1А5
108,Изогнутые балки,К1А5
109,Без имени (нижняя),К1А5
110,Без имени (шестерёнки с закруглёнными зубцами),К1В5*
111,Без имени (System),К1В5*
112,Без имени (прямые шестерни),К1В5*
113,Без имени (колёса),К1В5*
114,Без имени (System),К1В5*
115,Без имени (резерв),К1В5*
116,Bionicle и прочее,К1В5
117,System,К1В5
118,Оси и шестерёнки,К1В5
119,Прямые балки,К1В5
120,Колёса,К1В5
121,Большие колёса,К1А6
122,Большие колёса,К1В6
123,Датчики (большая),К1Б2
124,Датчики (нижняя),К1Б2
125,Датчики (верхняя),К1Б2
126,Моторы,К1Б1
127,Без имени (прозрачная),К1Б1
128,Чёрные штифты,К1Б1
129,Амортизаторы,К1Б1
130,Рамки чёрные,К1Б1
131,Рамки голубые,К1Б1
132,Балки разные,К1Б1
40,EV3 Home,К1
31,EV3 Home,К1
32,EV3 Home,К1
33,EV3 Home,К1
34,EV3 Home,К1
35,EV3 Home,К1
36,EV3 Home,К1
37,EV3 Home,К1
38,EV3 Home,К1
39,EV3 Home,К1
51,EV3 Education,К1
52,EV3 Education,К1
53,EV3 Education,К1
54,EV3 Education,К1
55,EV3 Education,К1
56,EV3 Education,К1
57,EV3 Education,К1
58,EV3 Education,К1
59,EV3 Education,К1
60,EV3 Education,К1
1,NXT 1.0,К1
2,NXT 1.0,К1
3,NXT 1.0,К1
4,NXT 1.0,К1
5,NXT 1.0,К1
6,NXT 1.0,К1
7,NXT 1.0,К1
8,NXT 1.0,К1
9,NXT 2.0,К1
14,NXT 2.0,К1
12,NXT 2.0,К1
11,NXT 2.0,К1
10,NXT 2.0,К1
15,NXT 2.0,К1
13,NXT 2.0,К1
16,NXT 2.0,К1
